DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyVisibility,DailyWetBulbTemperature,DailyWindDirection,DailyWindGustSpeed,DailyWindSpeed
2023-01-01,72788594266,30.08833333333333,34.42857142857143,37.0,0,-RA:02 |RA |RA,0.0,3.875,82.04761904761905,30.090000000000003,CLR:00,29.778333333333336,10.0,37.333333333333336,240,21.75,4.976190476190476
2023-01-12,72788594266,29.766170212765957,45.8936170212766,50.0,0.01,-RA:02 BR:1 |RA |RA,-0.0024999999999999,4.875,89.74468085106383,29.758333333333336,OVC:08 70,29.456170212765965,10.0,47.319148936170215,0,20.0,1.702127659574468
2023-01-13,72788594266,29.678139534883712,46.69767441860465,49.0,T,-RA:02 |RA |RA,0.01625,6.125,87.88372093023256,29.670833333333334,FEW:02 12 BKN:07 60 OVC:08 80,29.368139534883717,10.0,48.53488372093023,0,20.0,2.7674418604651163
2023-01-14,72788594266,29.46575757575757,40.95454545454545,43.0,0,BR:1 ||,0.0349999999999999,6.75,91.33333333333331,29.447500000000005,CLR:00,29.15712121212121,10.0,42.333333333333336,0,20.0,1.121212121212121
2023-01-15,72788594266,29.316792452830192,41.43396226415094,45.0,0,BR:1 ||,-0.0175,4.125,88.41509433962264,29.331666666666667,OVC:08 7,29.008301886792463,10.0,43.320754716981135,0,20.0,2.358490566037736
2023-01-16,72788594266,29.65983050847457,38.88135593220339,41.0,0,BR:1 ||,-0.0375,2.375,90.03389830508475,29.689166666666665,CLR:00,29.34983050847458,10.0,40.50847457627118,0,20.0,1.2542372881355932
2023-01-17,72788594266,29.864255319148928,38.70212765957447,42.0,0,BR:1 ||,-0.0037499999999999,4.5,87.34042553191489,29.863333333333333,CLR:00,29.554255319148936,10.0,40.765957446808514,0,20.0,1.1914893617021276
2023-01-18,72788594266,29.83,37.44827586206897,40.0,0,-RA:02 |RA |RA,-0.03125,4.0,83.10344827586206,29.85541666666667,CLR:00,29.52,10.0,40.241379310344826,0,20.0,6.068965517241379
2023-01-19,72788594266,30.34375,31.75,38.0,0,-RA:02 |RA |RA,-0.05,1.75,71.91666666666667,30.349166666666665,CLR:00,30.030416666666667,10.0,36.875,240,20.0,7.791666666666667
2023-01-20,72788594266,30.486451612903224,34.29032258064516,43.0,0,-RA:02 |RA |RA,0.0075,5.875,83.25806451612904,30.486666666666665,OVC:08 12,30.16741935483871,10.0,37.03225806451613,0,22.0,2.4516129032258065
2023-01-21,72788594266,30.195789473684204,34.5,41.0,0,-RA:02 |RA |RA,0.0249999999999999,5.625,84.94736842105263,30.20333333333333,OVC:08 9,29.884210526315798,10.0,36.81578947368421,0,22.0,5.184210526315789
2023-01-22,72788594266,30.434583333333336,32.458333333333336,38.0,0,-RA:02 |RA |RA,-0.0275,4.375,73.66666666666667,30.44125,CLR:00,30.116666666666664,10.0,37.16666666666666,0,22.0,5.458333333333333
2023-01-23,72788594266,30.502941176470586,35.11764705882353,40.0,0,-RA:02 |RA |RA,-0.00625,3.75,78.8529411764706,30.50833333333333,CLR:00,30.18470588235294,10.0,38.70588235294117,0,22.0,2.323529411764706
2023-01-24,72788594266,30.571794871794875,40.35897435897436,45.0,0,BR:1 ||,-0.015,3.625,83.8974358974359,30.5775,BKN:07 14,30.251794871794864,10.0,43.0,0,22.0,3.4871794871794872
2023-01-25,72788594266,30.711428571428574,39.57142857142857,45.0,0,BR:1 ||,-0.0087499999999999,3.5,83.45714285714286,30.721666666666675,CLR:00,30.391428571428573,10.0,42.34285714285714,0,22.0,1.8235294117647056
2023-01-26,72788594266,30.565,39.8125,45.0,0,BR:1 ||,0.0425,6.25,85.22916666666667,30.5675,OVC:08 2,30.245833333333337,10.0,42.22916666666666,0,22.0,3.270833333333333
2023-01-27,72788594266,30.228085106382984,42.02127659574468,46.0,0,BR:1 ||,0.0275,6.25,85.12765957446808,30.224166666666665,CLR:00,29.918085106382986,10.0,44.46808510638298,0,22.0,5.9361702127659575
2023-01-28,72788594266,30.200789473684207,34.21052631578947,45.0,0,-RA:02 |RA |RA,-0.02,3.875,72.05263157894737,30.224999999999994,CLR:00,29.889999999999997,10.0,39.578947368421055,VRB,23.142857142857142,5.473684210526316
2023-01-29,72788594266,30.49875,15.916666666666666,28.0,0,-RA:02 |RA |RA,-0.01625,2.5,52.375,30.506250000000005,CLR:00,30.17875,10.0,27.291666666666668,0,21.0,4.869565217391305
2023-01-30,72788594266,30.41291666666667,22.0,24.0,0,-RA:02 |RA |RA,0.02125,6.375,67.5,30.42083333333333,CLR:00,30.09708333333333,10.0,28.45833333333333,0,28.0,3.1666666666666665
2023-01-31,72788594266,30.2225,29.666666666666668,38.0,0,-RA:02 |RA |RA,0.02,6.375,73.08333333333333,30.22958333333333,CLR:00,29.911666666666672,10.0,34.416666666666664,0,28.0,2.7916666666666665
2023-02-01,72788594266,30.137083333333337,31.0,34.0,0,-RA:02 |RA |RA,0.00375,6.125,78.66666666666667,30.14375,CLR:00,29.82708333333333,10.0,34.583333333333336,0,28.0,2.5
2023-02-02,72788594266,30.09666666666666,32.53333333333333,33.0,0,-RA:02 |RA |RA,0.01125,4.75,82.96666666666667,30.09791666666666,CLR:00,29.78666666666667,10.0,35.4,0,28.0,2.833333333333333
2023-02-03,72788594266,29.84,37.083333333333336,46.0,0,-RA:02 |RA |RA,0.0112499999999999,5.75,78.29166666666667,29.84166666666667,CLR:00,29.53,10.0,40.708333333333336,0,28.0,4.666666666666667
2023-02-04,72788594266,29.898275862068964,40.75862068965517,45.0,0,-RA:02 |RA |RA,0.02625,5.75,83.0,29.88875,OVC:08 110,29.58827586206897,10.0,43.48275862068966,0,24.25,2.5172413793103448
2023-02-05,72788594266,29.8834375,40.28125,45.0,0,-RA:02 |RA |RA,-0.04875,2.875,80.75,29.906666666666663,CLR:00,29.5734375,10.0,43.4375,0,24.25,6.125
2023-02-06,72788594266,30.280416666666667,37.875,43.0,0,-RA:02 |RA |RA,-8.673617379884035e-19,4.375,74.04166666666667,30.284166666666664,BKN:07 55,29.967916666666667,10.0,42.208333333333336,0,31.5,3.083333333333333
2023-02-07,72788594266,30.12461538461538,38.96153846153846,47.0,T,-RA:02 |RA |RA,-0.0075,5.0,79.65384615384616,30.13166666666666,CLR:00,29.81423076923077,10.0,42.46153846153846,250,31.5,8.0
2023-02-08,72788594266,30.42807692307692,34.42307692307692,40.0,0,-RA:02 |RA |RA,-0.0174999999999999,3.875,73.8076923076923,30.43875,CLR:00,30.11115384615385,10.0,38.96153846153846,0,29.0,5.961538461538462
2023-02-09,72788594266,30.14277777777778,38.77777777777778,41.0,0,-RA:02 |RA |RA,0.0549999999999999,6.625,86.41666666666667,30.14708333333333,OVC:08 13,29.83194444444445,10.0,40.94444444444444,0,29.0,2.611111111111111
2023-02-10,72788594266,30.19866666666666,38.1,38.0,0,-RA:02 |RA |RA,-0.04125,1.5,83.73333333333333,30.198333333333323,CLR:00,29.88866666666667,10.0,40.833333333333336,260,29.0,5.241379310344827
2023-02-11,72788594266,30.314333333333323,33.733333333333334,45.0,0,-RA:02 |RA |RA,-0.0025,4.375,73.43333333333334,30.319999999999997,CLR:00,30.000333333333337,10.0,38.46666666666667,250,29.0,5.566666666666666
2023-02-12,72788594266,30.11620689655172,36.72413793103448,45.0,0,-RA:02 |RA |RA,0.04375,7.0,80.37931034482759,30.134166666666665,OVC:08 50,29.805517241379317,10.0,39.86206896551724,0,29.0,3.586206896551724
2023-02-13,72788594266,29.8541935483871,32.193548387096776,41.0,0,-RA:02 |RA |RA,0.0037499999999999,3.5,69.19354838709677,29.85416666666667,CLR:00,29.544193548387085,10.0,37.903225806451616,250,27.61111111111111,13.64516129032258
2023-02-14,72788594266,30.137241379310343,27.03448275862069,35.0,0,-SN:03 |SN |,-0.0575,1.625,68.86206896551724,30.170833333333334,CLR:00,29.826206896551724,10.0,32.96551724137931,240,17.0,5.448275862068965
2023-02-15,72788594266,30.33333333333333,28.041666666666668,33.0,0,-RA:02 |RA |RA,0.00625,5.25,67.625,30.34041666666667,CLR:00,30.01833333333333,10.0,34.166666666666664,240,17.0,5.0
2023-02-16,72788594266,30.167916666666667,32.416666666666664,38.0,0,-RA:02 |RA |RA,0.0175,6.25,73.625,30.17333333333333,OVC:08 90,29.857916666666664,10.0,37.083333333333336,240,18.0,4.0
2023-02-17,72788594266,30.22969696969697,35.84848484848485,39.0,0,-RA:02 |RA |RA,-0.01,3.75,80.27272727272727,30.232916666666668,OVC:08 60,29.91969696969697,10.0,39.15151515151515,0,18.0,3.606060606060606
2023-02-18,72788594266,30.15720930232558,38.83720930232558,40.0,0,HZ:7 |FU |HZ,0.00125,3.375,85.95348837209302,30.152500000000003,OVC:08 50,29.847209302325584,10.0,41.13953488372093,0,18.0,3.186046511627907
2023-02-19,72788594266,30.1996,38.16,50.0,0,-RA:02 |RA |RA,0.005,4.75,71.36,30.2025,OVC:08 80,29.8896,10.0,43.04,290,23.916666666666668,9.8
2023-02-20,72788594266,29.988823529411768,40.588235294117645,48.0,0,-RA:02 |RA |RA,0.0399999999999999,5.875,76.20588235294117,29.979166666666668,FEW:02 9 OVC:08 90,29.67882352941176,10.0,44.5,0,31.11111111111111,8.647058823529411
2023-02-21,72788594266,29.572765957446805,33.59574468085106,41.0,0.01,-RA:02 |RA |RA,0.0225,6.375,78.44680851063829,29.569166666666664,BKN:07 6 OVC:08 13,29.26276595744681,10.0,37.212765957446805,260,29.39130434782609,11.755555555555556
2023-02-22,72788594266,29.631343283582083,24.85074626865672,30.0,T,-SN:03 BR:1 |SN |,-0.0175,4.75,79.11940298507463,29.645,OVC:08 11,29.321343283582085,10.0,28.761194029850746,VRB,17.666666666666668,4.166666666666667
2023-02-23,72788594266,29.78942857142857,18.942857142857143,30.0,0,-SN:03 |SN |,-0.04625,2.875,64.14285714285714,29.83083333333333,OVC:08 43,29.47942857142857,10.0,26.542857142857144,100,23.363636363636363,10.342857142857143
2023-02-24,72788594266,30.14192307692308,16.576923076923077,32.0,0,-SN:03 |SN |,-0.015,3.125,63.96153846153846,30.14958333333333,CLR:00,29.831923076923072,10.0,24.23076923076923,220,28.0,4.807692307692308
2023-02-25,72788594266,29.82576923076923,23.0,35.0,0,-SN:03 |SN |,0.07875,6.875,71.1923076923077,29.85333333333333,CLR:00,29.515769230769227,10.0,28.57692307692308,0,28.0,2.1538461538461537
2023-02-26,72788594266,29.552,29.625,34.0,0,-SN:03 |SN |,-0.025,2.75,76.875,29.57541666666667,CLR:00,29.242,10.0,33.775,250,28.0,7.85
2023-02-27,72788594266,29.46459459459459,30.62162162162162,39.0,0,-RA:02 |RA |RA,0.04,7.375,80.72972972972973,29.49291666666667,CLR:00,29.154594594594588,10.0,33.945945945945944,0,25.33333333333333,4.297297297297297
2023-02-28,72788594266,29.539473684210527,30.614035087719294,34.0,0,-SN:03 BR:1 |SN |,-0.05,1.75,79.52631578947368,29.59125,CLR:00,29.229473684210525,10.0,34.31578947368421,280,25.33333333333333,6.789473684210527
2023-03-01,72788594266,30.021666666666665,27.625,32.0,0.00,-RA:02 |RA |RA,-0.02375,1.875,67.04166666666667,30.02791666666667,CLR:00,29.711666666666662,10.0,33.958333333333336,000,25.33333333333333,5.375
2023-03-02,72788594266,29.91029411764706,32.64705882352941,39.0,T,-RA:02 |RA |RA,0.0012499999999999,3.75,75.82352941176471,29.91416666666667,CLR:00,29.60029411764706,10.0,37.1764705882353,000,25.33333333333333,8.558823529411764
2023-03-03,72788594266,29.851250000000004,30.666666666666668,37.0,0.00,-RA:02 |RA |RA,0.04375,6.625,71.54166666666667,29.85708333333333,CLR:00,29.54125,10.0,35.916666666666664,260,20.0,5.666666666666667
2023-03-04,72788594266,29.464642857142856,31.5,35.0,0.00,-RA:02 |RA |RA,0.015,5.875,78.78571428571429,29.473333333333333,CLR:00,29.154642857142854,10.0,35.17857142857143,000,20.0,3.678571428571429
2023-03-05,72788594266,29.74193548387097,31.61290322580645,39.0,0.00,-RA:02 |RA |RA,-0.03875,2.125,72.96774193548387,29.743333333333336,CLR:00,29.431935483870955,10.0,36.354838709677416,240,23.0,4.516129032258065
2023-03-06,72788594266,29.925769230769237,29.73076923076923,36.0,0.00,-RA:02 |RA |RA,-0.015,3.25,67.5,29.933333333333337,CLR:00,29.615769230769235,10.0,36.0,220,23.0,6.08
2023-03-07,72788594266,30.01068965517242,31.655172413793103,44.0,0.00,-RA:02 |RA |RA,0.0024999999999999,2.75,73.20689655172414,30.012083333333333,CLR:00,29.70068965517241,10.0,36.41379310344828,000,28.3,4.689655172413793
2023-03-08,72788594266,29.93323529411765,31.91176470588235,34.0,0.00,-RA:02 |RA |RA,0.00375,4.0,78.29411764705883,29.942083333333333,CLR:00,29.62323529411765,10.0,35.61764705882353,000,28.3,3.823529411764706
2023-03-09,72788594266,29.719583333333333,29.83333333333333,33.0,0.00,-RA:02 |RA |RA,0.0574999999999999,7.75,64.08333333333333,29.724166666666665,CLR:00,29.40958333333333,10.0,37.083333333333336,000,28.3,8.541666666666666
2023-03-10,72788594266,29.535319148936168,35.85106382978724,39.0,T,-RA:02 |RA |RA,-0.03375,3.0,82.51063829787235,29.54458333333333,OVC:08 14,29.22531914893618,10.0,38.723404255319146,000,19.75,2.765957446808511
2023-03-11,72788594266,29.883235294117647,34.94117647058823,37.0,0.00,-RA:02 |RA |RA,-0.02,3.125,79.32352941176471,29.89583333333333,OVC:08 100,29.573235294117648,10.0,38.47058823529412,000,19.75,3.5588235294117645
2023-03-12,72788594266,29.722307692307684,35.46153846153846,42.0,0.00,-RA:02 |RA |RA,0.04,7.125,86.74358974358974,29.75125,CLR:00,29.412307692307685,10.0,37.51282051282051,000,19.75,3.871794871794872
2023-03-13,72788594266,29.67428571428571,36.642857142857146,43.0,0.00,-RA:02 BR:1 |RA |RA,-0.02625,2.25,80.0952380952381,29.7075,BKN:07 29 OVC:08 43,29.364285714285717,10.0,40.023809523809526,000,19.75,4.714285714285714
2023-03-14,72788594266,29.8032,31.52,32.0,0.00,-RA:02 |RA |RA,0.0062499999999999,4.875,73.76,29.803750000000004,BKN:07 75,29.4932,10.0,36.36,000,22.0,4.2
2023-03-15,72788594266,30.142692307692315,32.34615384615385,37.0,0.00,-RA:02 |RA |RA,-0.06875,1.875,68.38461538461539,30.16833333333334,CLR:00,29.83230769230769,10.0,38.23076923076923,240,22.0,8.923076923076923
2023-03-16,72788594266,30.28026315789474,32.526315789473685,45.0,0.00,-RA:02 |RA |RA,0.01625,5.125,75.94736842105263,30.26416666666667,CLR:00,29.969210526315795,10.0,36.76315789473684,000,20.0,4.342105263157895
2023-03-17,72788594266,30.14708333333333,32.0,44.0,0.00,-RA:02 |RA |RA,0.0075,4.75,68.375,30.1525,CLR:00,29.837083333333336,10.0,38.04166666666666,000,21.5,3.7916666666666665
2023-03-18,72788594266,30.022500000000004,34.916666666666664,46.0,0.00,-RA:02 |RA |RA,0.0225,6.625,67.58333333333333,30.024583333333336,CLR:00,29.7125,10.0,40.833333333333336,230,21.5,4.5
2023-03-19,72788594266,29.743333333333336,36.75,50.0,0.00,-RA:02 |RA |RA,0.03875,7.375,67.41666666666667,29.745416666666667,CLR:00,29.433333333333334,10.0,42.583333333333336,000,21.5,4.375
2023-03-20,72788594266,29.72326530612245,42.204081632653065,47.0,0.00,-RA:02 BR:1 |RA |RA,-0.0225,2.5,82.87755102040816,29.723333333333333,BKN:07 16 OVC:08 75,29.413265306122447,10.0,45.04081632653061,000,21.5,3.306122448979592
2023-03-21,72788594266,29.83757575757576,40.96969696969697,46.0,0.00,-RA:02 |RA |RA,0.005,4.375,79.18181818181819,29.83625,CLR:00,29.52757575757576,10.0,44.39393939393939,000,21.5,4.242424242424242
2023-03-22,72788594266,29.831851851851848,38.81481481481482,41.0,0.00,-RA:02 |RA |RA,-0.01125,3.0,76.51851851851852,29.83208333333333,CLR:00,29.52185185185185,10.0,42.7037037037037,000,21.5,6.62962962962963
2023-03-23,72788594266,29.89487179487179,36.20512820512821,43.0,0.00,-RA:02 |RA |RA,-0.01625,4.625,75.1025641025641,29.90458333333333,CLR:00,29.5848717948718,10.0,40.35897435897436,000,21.5,6.2631578947368425
2023-03-24,72788594266,30.1246875,33.5625,39.0,T,-RA:02 |RA |RA,-0.02,2.25,74.6875,30.130416666666665,CLR:00,29.8146875,10.0,37.9375,250,24.5,9.5
2023-03-25,72788594266,30.24516129032258,31.548387096774192,39.0,0.00,-RA:02 |RA |RA,-0.00625,2.75,73.12903225806451,30.25,CLR:00,29.935161290322597,10.0,36.41935483870968,240,21.666666666666668,6.866666666666666
2023-03-26,72788594266,30.28677419354838,33.12903225806452,35.0,0.00,-RA:02 |RA |RA,-0.0075,2.25,78.58064516129032,30.292916666666667,OVC:08 36,29.975806451612904,10.0,36.87096774193548,000,17.0,4.290322580645161
2023-03-27,72788594266,30.18653846153847,32.34615384615385,35.0,0.00,-RA:02 |RA |RA,0.0375,6.25,73.1923076923077,30.18375,CLR:00,29.876153846153844,10.0,37.23076923076923,220,17.0,5.6923076923076925
2023-03-28,72788594266,29.86375,30.125,33.0,0.00,-RA:02 |RA |RA,0.01625,5.25,58.25,29.86583333333333,CLR:00,29.55375,10.0,38.833333333333336,000,21.8,5.291666666666667
2023-03-29,72788594266,29.8325,26.375,46.0,0.00,-RA:02 |RA |RA,0.0087499999999999,4.75,45.29166666666666,29.83333333333333,CLR:00,29.5225,10.0,39.91666666666666,VRB,19.571428571428573,5.75
2023-03-30,72788594266,29.8475,35.17857142857143,47.0,0.00,-RA:02 |RA |RA,-0.01,2.75,71.42857142857143,29.845,CLR:00,29.537500000000005,10.0,40.10714285714285,290,19.571428571428573,7.607142857142857
2023-03-31,72788594266,29.8371875,35.8125,36.0,0.00,-RA:02 |RA |RA,0.01375,5.25,81.71875,29.845,CLR:00,29.5271875,10.0,38.96875,000,20.0,3.28125
2023-04-01,72788594266,29.896060606060605,33.484848484848484,43.0,0.00,-RA:02 |RA |RA,-0.01625,2.375,75.27272727272727,29.889166666666668,BKN:07 12 BKN:07 17 OVC:08 39,29.58606060606061,10.0,37.81818181818182,310,22.6,8.484848484848484
2023-04-02,72788594266,29.90463414634147,33.97560975609756,41.0,T,-RA:02 |RA |RA,-0.0025,3.375,80.7560975609756,29.911666666666665,BKN:07 13,29.594634146341463,10.0,37.04878048780488,000,22.0,4.439024390243903
2023-04-03,72788594266,30.04071428571428,32.464285714285715,37.0,0.00,-RA:02 |RA |RA,-0.0124999999999999,2.5,72.5,30.05458333333333,CLR:00,29.73071428571429,10.0,37.46428571428572,240,22.0,7.0
2023-04-04,72788594266,30.15111111111112,33.0,38.0,0.00,-RA:02 BR:1 |RA |RA,-0.015,3.25,74.58333333333333,30.15166666666668,CLR:00,29.84111111111111,10.0,37.52777777777778,000,19.83333333333333,4.305555555555555
2023-04-05,72788594266,30.09708333333333,32.875,44.0,0.00,-RA:02 |RA |RA,0.02375,6.625,69.0,30.10166666666667,CLR:00,29.78708333333333,10.0,38.333333333333336,230,19.83333333333333,4.208333333333333
2023-04-06,72788594266,29.754166666666663,39.91666666666666,50.0,0.00,-RA:02 |RA |RA,0.04,5.875,76.08333333333333,29.757083333333338,CLR:00,29.44416666666667,10.0,43.875,000,19.83333333333333,2.7916666666666665
2023-04-07,72788594266,29.820000000000004,41.1,47.0,0.00,-RA:02 |RA |RA,-0.025,2.75,79.45,29.822916666666668,OVC:08 14,29.51,10.0,44.425,300,19.83333333333333,6.8
2023-04-08,72788594266,29.90125,38.75,39.0,0.00,-RA:02 |RA |RA,-0.0087499999999999,2.625,77.375,29.905,CLR:00,29.59125,10.0,42.54166666666666,000,25.727272727272727,1.9583333333333333
2023-04-09,72788594266,29.96611111111112,43.388888888888886,48.0,0.00,-RA:02 |RA |RA,-0.0199999999999999,4.5,84.38888888888889,29.959999999999997,OVC:08 60,29.65611111111111,10.0,45.888888888888886,300,25.727272727272727,7.444444444444445
2023-04-10,72788594266,30.03142857142857,40.54761904761905,47.0,0.00,-RA:02 |RA |RA,0.02625,6.125,82.23809523809524,30.03375,OVC:08 30,29.721428571428564,10.0,43.54761904761905,000,25.857142857142858,2.833333333333333
2023-04-11,72788594266,29.977419354838705,34.03225806451613,42.0,0.00,-RA:02 |RA |RA,-0.01125,3.625,68.70967741935483,29.99124999999999,CLR:00,29.667419354838717,10.0,40.16129032258065,240,25.857142857142858,8.935483870967742
2023-04-12,72788594266,30.073666666666675,33.3,43.0,0.00,-RA:02 |RA |RA,-0.0075,4.0,64.56666666666666,30.084166666666675,CLR:00,29.763666666666666,10.0,40.13333333333333,000,23.2,5.866666666666666
2023-04-13,72788594266,30.030625,33.6875,40.0,0.00,-RA:02 |RA |RA,0.01,6.125,70.8125,30.03333333333333,CLR:00,29.720625,10.0,38.875,230,22.25,6.4375
2023-04-14,72788594266,30.03411764705882,35.85294117647059,42.0,0.00,-RA:02 |RA |RA,-0.00375,4.25,76.91176470588235,30.037499999999994,CLR:00,29.724117647058826,10.0,39.55882352941177,000,22.25,3.939393939393939
2023-04-15,72788594266,30.045,38.91666666666666,50.0,0.00,-RA:02 |RA |RA,0.00375,3.875,76.25,30.04958333333333,CLR:00,29.735000000000003,10.0,42.75,000,22.25,1.9166666666666667
2023-04-16,72788594266,29.87931818181819,38.70454545454545,42.0,0.00,-RA:02 |RA |RA,0.00875,3.75,80.68181818181819,29.887916666666676,CLR:00,29.56931818181819,10.0,41.97727272727273,000,22.25,5.25
2023-04-17,72788594266,29.706071428571423,32.535714285714285,34.0,0.00,-RA:02 |RA |RA,0.0475,5.875,70.78571428571429,29.676666666666662,CLR:00,29.396071428571428,10.0,37.85714285714285,000,24.5,5.785714285714286
2023-04-18,72788594266,29.741612903225803,34.58064516129032,40.0,0.00,-RA:02 |RA |RA,-0.04125,2.375,75.6774193548387,29.77875,CLR:00,29.431612903225812,10.0,38.774193548387096,230,19.5,6.366666666666666
2023-04-19,72788594266,30.101612903225806,35.516129032258064,46.0,0.00,-RA:02 |RA |RA,-0.0487499999999999,2.5,78.2258064516129,30.112916666666663,CLR:00,29.791612903225804,10.0,39.16129032258065,000,21.0,4.32258064516129
2023-04-20,72788594266,30.18125,36.3125,46.0,0.00,-RA:02 BR:1 |RA |RA,0.01375,5.0,79.90625,30.1775,BKN:07 30,29.8709375,10.0,39.6875,000,21.0,3.78125
2023-04-21,72788594266,30.346666666666664,39.54166666666666,46.0,0.00,-RA:02 |RA |RA,-0.0199999999999999,4.5,78.16666666666667,30.350416666666664,OVC:08 60,30.03458333333333,10.0,43.208333333333336,000,21.0,2.0416666666666665
2023-04-22,72788594266,30.12052631578946,43.1578947368421,45.0,0.00,-RA:02 |RA |RA,0.05625,7.0,81.78947368421052,30.10083333333333,BKN:07 12 BKN:07 60 OVC:08 90,29.810526315789478,10.0,46.1578947368421,000,21.0,2.1944444444444446
2023-04-23,72788594266,29.851363636363644,42.77272727272727,49.0,T,-RA:02 |RA |RA,0.0012499999999999,3.25,81.75,29.853333333333328,OVC:08 14,29.54136363636363,10.0,45.84090909090909,000,21.0,5.045454545454546
2023-04-24,72788594266,30.139512195121952,41.1219512195122,48.0,0.00,-RA:02 BR:1 |RA |RA,-0.0475,2.25,76.5609756097561,30.1375,CLR:00,29.82951219512195,10.0,45.0,280,20.0,7.666666666666667
2023-04-25,72788594266,30.2775,39.46875,45.0,0.00,BR:1 ||,0.0012499999999999,5.125,70.03125,30.27541666666667,CLR:00,29.9671875,10.0,44.5,270,17.0,6.375
2023-04-26,72788594266,30.2108,42.32,43.0,0.00,BR:1 ||,0.00875,5.5,78.32,30.213750000000005,CLR:00,29.9008,10.0,45.92,230,20.666666666666668,5.88
2023-04-27,72788594266,30.24363636363637,43.63636363636363,46.0,0.00,BR:1 ||,0.0087499999999999,4.875,80.20454545454545,30.232916666666664,CLR:00,29.932727272727263,10.0,47.09090909090909,000,20.6,3.2954545454545454
2023-04-28,72788594266,30.01708333333333,42.54166666666666,45.0,0.00,-RA:02 |RA |RA,0.03125,6.25,61.458333333333336,30.01625,CLR:00,29.707083333333333,10.0,49.41666666666666,000,20.6,5.041666666666667
2023-04-29,72788594266,29.945000000000004,46.16666666666666,55.0,0.00,-RA:02 |RA |RA,-0.00125,5.25,70.20833333333333,29.943750000000005,CLR:00,29.635,10.0,50.958333333333336,300,20.6,8.583333333333334
2023-04-30,72788594266,29.91755555555556,44.86666666666667,49.0,0.00,-RA:02 |RA |RA,-0.00125,3.75,77.64444444444445,29.917499999999997,OVC:08 11,29.607555555555543,10.0,48.37777777777778,290,18.0,6.622222222222222
2023-05-01,72788594266,29.8848,42.32,55.0,0.00,-RA:02 |RA |RA,0.01,6.875,67.88,29.88583333333333,CLR:00,29.5748,10.0,47.8,240,20.666666666666668,5.08
